name,position,team,adp,projection,bye,tier,rank_overall,rank_position
Jerome Ford,RB,WAS,999.0,33.2,0,99,373,999
Elijah Higgins,TE,ARI,999.0,32.9,0,99,374,999
Jalen Royals,WR,KC,999.0,32.7,0,99,375,999
Rasheen Ali,RB,BAL,999.0,32.7,0,99,376,999
Chris Brooks,RB,GB,999.0,32.6,0,99,377,999
Luke Musgrave,TE,GB,999.0,32.1,0,99,378,999
Xavier Legette,WR,CAR,999.0,32.1,0,99,379,999
Brenen Thompson,WR,LAC,999.0,32.0,0,99,380,999
CJ Daniels,WR,LAR,999.0,31.8,0,99,381,999
Daniel Bellinger,TE,TEN,999.0,31.6,0,99,382,999
Calvin Austin,WR,NYG,999.0,31.6,0,99,383,999
Xavier Hutchinson,WR,HOU,999.0,31.6,0,99,384,999
Tez Johnson,WR,TB,999.0,31.4,0,99,385,999
Bryce Lance,WR,NO,999.0,31.2,0,99,386,999
Oscar Delp,TE,NO,999.0,30.9,0,99,387,999
Eli Raridon,TE,NE,999.0,30.7,0,99,388,999
Charlie Kolar,TE,LAC,999.0,30.4,0,99,389,999
Cyrus Allen,WR,KC,999.0,30.2,0,99,390,999
John Metchie,WR,CAR,999.0,30.0,0,99,391,999
Isaiah Bond,WR,CLE,999.0,29.4,0,99,392,999
Seth McGowan,RB,IND,999.0,29.3,0,99,393,999
Ja'Tavion Sanders,TE,CAR,999.0,29.3,0,99,394,999
Samaje Perine,RB,CIN,999.0,29.2,0,99,395,999
Noah Fant,TE,NO,999.0,29.1,0,99,396,999
KeAndre Lambert-Smith,WR,LAC,999.0,29.0,0,99,397,999
Treylon Burks,WR,WAS,999.0,28.8,0,99,398,999
Will Shipley,RB,PHI,999.0,28.8,0,99,399,999
Joe Flacco,QB,CIN,999.0,28.72,0,99,400,999
Zach Ertz,TE,,999.0,28.7,0,99,401,999
Austin Ekeler,RB,,999.0,28.6,0,99,402,999
Trevor Etienne,RB,CAR,999.0,28.6,0,99,403,999
Emari Demercado,RB,KC,999.0,28.6,0,99,404,999
Tutu Atwell,WR,MIA,999.0,28.2,0,99,405,999
J'Mari Taylor,RB,JAX,999.0,28.2,0,99,406,999
Gardner Minshew,QB,ARI,999.0,27.96,0,99,407,999
Jalen Tolbert,WR,MIA,999.0,27.7,0,99,408,999
Malik Davis,RB,DAL,999.0,27.4,0,99,409,999
Van Jefferson,WR,WAS,999.0,27.2,0,99,410,999
Derek Carr,QB,,999.0,27.18,0,99,411,999
DJ Giddens,RB,IND,999.0,27.0,0,99,412,999
Le'Veon Moss,RB,,999.0,26.9,0,99,413,999
Joshua Palmer,WR,BUF,999.0,26.6,0,99,414,999
Sam Roush,TE,CHI,999.0,26.5,0,99,415,999
Caleb Douglas,WR,MIA,999.0,26.5,0,99,416,999
Kevin Coleman,WR,MIA,999.0,26.4,0,99,417,999
Austin Hooper,TE,ATL,999.0,26.2,0,99,418,999
Cade Stover,TE,HOU,999.0,26.2,0,99,419,999
Adam Randall,RB,BAL,999.0,26.1,0,99,420,999
Demarcus Robinson,WR,SF,999.0,26.0,0,99,421,999
Tyler Higbee,TE,LAR,999.0,25.9,0,99,422,999
Tanner Koziol,TE,JAX,999.0,25.8,0,99,423,999
JuJu Smith-Schuster,WR,,999.0,25.6,0,99,424,999
Colbie Young,WR,CIN,999.0,25.5,0,99,425,999
Kevin Austin,WR,NO,999.0,25.4,0,99,426,999
Nick Chubb,RB,,999.0,25.4,0,99,427,999
Jackson Hawes,TE,BUF,999.0,25.4,0,99,428,999
Mitchell Evans,TE,CAR,999.0,25.4,0,99,429,999
John Bates,TE,WAS,999.0,25.3,0,99,430,999
Tommy Tremble,TE,CAR,999.0,25.3,0,99,431,999
Matt Hibner,TE,BAL,999.0,25.3,0,99,432,999
Isaiah Williams,WR,NYJ,999.0,25.3,0,99,433,999
Efton Chism,WR,NE,999.0,25.2,0,99,434,999
Drew Sample,TE,CIN,999.0,25.1,0,99,435,999
Miles Kitselman,TE,DET,999.0,25.1,0,99,436,999
Jaren Kanak,TE,TEN,999.0,25.1,0,99,437,999
Lance Mason,TE,SEA,999.0,25.1,0,99,438,999
Dean Connors,RB,LAR,999.0,25.0,0,99,439,999
Josh Oliver,TE,MIN,999.0,24.9,0,99,440,999
Ben Sinnott,TE,WAS,999.0,24.9,0,99,441,999
Luke Schoonmaker,TE,DAL,999.0,24.9,0,99,442,999
Aaron Anderson,WR,CLE,999.0,24.7,0,99,443,999
Barion Brown,WR,NO,999.0,24.6,0,99,444,999
